model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-125m,MeZO,1e-7,1,6,1800,3600,0.946107
opt-125m,MeZO,1e-7,1,7,2100,4200,0.937467
opt-125m,MeZO,1e-7,1,8,2400,4800,0.928177
opt-125m,MeZO,1e-7,1,9,2700,5400,0.917847
opt-125m,MeZO,1e-7,1,10,3000,6000,0.908548
opt-125m,MeZO,1e-7,1,11,3300,6600,0.897617
opt-125m,MeZO,1e-7,1,12,3600,7200,0.889443
opt-125m,MeZO,1e-7,1,13,3900,7800,0.881728
opt-125m,MeZO,1e-7,1,14,4200,8400,0.874144
opt-125m,MeZO,1e-7,2,1,300,600,0.913237
opt-125m,MeZO,1e-7,2,2,600,1200,0.900647
opt-125m,MeZO,1e-7,2,3,900,1800,0.887330
opt-125m,MeZO,1e-7,2,4,1200,2400,0.875293
opt-125m,MeZO,1e-7,2,5,1500,3000,0.866101
opt-125m,MeZO,1e-7,2,6,1800,3600,0.860985
opt-125m,MeZO,1e-7,2,7,2100,4200,0.853929
opt-125m,MeZO,1e-7,2,8,2400,4800,0.847704
opt-125m,MeZO,1e-7,2,9,2700,5400,0.839940
opt-125m,MeZO,1e-7,2,10,3000,6000,0.833979
opt-125m,MeZO,1e-7,2,11,3300,6600,0.825685
opt-125m,MeZO,1e-7,2,12,3600,7200,0.823274
opt-125m,MeZO,1e-7,2,13,3900,7800,0.816756
opt-125m,MeZO,1e-7,2,14,4200,8400,0.813854
opt-125m,MeZO,1e-8,0,1,300,600,1.020125
opt-125m,MeZO,1e-8,0,2,600,1200,1.017087
opt-125m,MeZO,1e-8,0,3,900,1800,1.014544
opt-125m,MeZO,1e-8,0,4,1200,2400,1.011926
opt-125m,MeZO,1e-8,0,5,1500,3000,1.009641
opt-125m,MeZO,1e-8,0,6,1800,3600,1.007054
opt-125m,MeZO,1e-8,0,7,2100,4200,1.004811
opt-125m,MeZO,1e-8,0,8,2400,4800,1.002155
opt-125m,MeZO,1e-8,0,9,2700,5400,0.999473
opt-125m,MeZO,1e-8,0,10,3000,6000,0.997227
opt-125m,MeZO,1e-8,0,11,3300,6600,0.995004
